	sample	group	count	readcount
275	MBH092	UHGG	19878199	30397392
276	MHH370	UHGG	8692667	13478278
277	MHH607	UHGG	20459847	35152579
278	MHS120	UHGG	19711665	31772239
279	MBH090	UHGG	22718413	35440662
280	MBH062	UHGG	14329389	18933410
281	MHH358	UHGG	5769318	9090019
282	MHH617	UHGG	10058994	16252458
283	MHH393	UHGG	19588160	29580138
284	MHS127	UHGG	6636021	11287163
285	MBH068	UHGG	21177142	28170136
286	MHH395	UHGG	18607813	27132968
287	MHH545	UHGG	11065152	20450775
